"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"ChilShoe_2",0.662904949144295,0.0102827790993856,0.200258556551836,0.0322745887224089,3.31024531764617,0.318602947595302,0.0106943019453776,0.758186605079792,0.0125,-0.1109,0.1015,1,8,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","arsC","Metal Resistance","Arsenical resistance ",537
"GimnMicr_1",0.899759094203883,-0.0169424957666505,0.229497306413761,0.0369868399380356,3.92056494371967,-0.458068215479732,0.00441488589295441,0.659089155445809,0.0256,-0.0962,0.2098,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","arsC","Metal Resistance","Arsenical resistance ",537
"GimnMicr_2",0.587192175689196,0.0294962543661725,0.231233428932154,0.0372666414167721,2.53939137779894,0.79149215611626,0.0347436811989079,0.451483706102859,0.0726,-0.0433,0.6265,1,8,"19","GimnMicr","F",529810,"F","F7","Rajiform","arsC","Metal Resistance","Arsenical resistance ",537
"HaemBona",0.80140747814938,0.00386480006692589,0.222812591845333,0.0359095006365967,3.59677822295467,0.10762611560761,0.00701504924882533,0.916942524887571,0.0014,-0.1234,0.0116,1,8,"7","HaemBona","F",529810,"F","F8","Perciform","arsC","Metal Resistance","Arsenical resistance ",537
"OpsaBeta_1",1.01832669505157,-0.0356386222532996,0.299081755161024,0.0482013892859539,3.40484391802269,-0.739369192076065,0.00929368014589296,0.480812328080692,0.064,-0.053,0.5467,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","arsC","Metal Resistance","Arsenical resistance ",537
"OrthChry_2",0.817684668433523,0.00832699648019961,0.164524719532902,0.0265155594298895,4.96998062513032,0.314041893108733,0.00109312769510553,0.761522219769139,0.0122,-0.1113,0.0986,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","arsC","Metal Resistance","Arsenical resistance ",537
"PrioPunc_1",0.779857907278689,0.00160250640751499,0.216851388263996,0.0349487656887823,3.59627814016707,0.0458530187241878,0.00702014748778662,0.964551339073742,3e-04,-0.1247,0.0021,1,8,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","arsC","Metal Resistance","Arsenical resistance ",537
"Sdmt_A",0.789133592225851,0.0191544997243911,0.1926052506046,0.03104114678581,4.09715513854743,0.617068043798797,0.00345129601182739,0.5543416610083,0.0454,-0.0739,0.3808,1,8,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"Sdmt_B",0.786865078791445,0.0175502281752328,0.135646587751524,0.0218614270803723,5.8008468317155,0.802794259986338,0.000404772132075653,0.445286622747759,0.0746,-0.0411,0.6445,1,8,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"Sdmt_C",0.665736281711458,0.0393647003567119,0.24701390051612,0.0398098946938741,2.69513691464506,0.988816992845986,0.0272787103940006,0.351712669018112,0.1089,-0.0025,0.9778,1,8,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"SphoSpen_1",1.03785411668329,-0.0200025511199777,0.153702171627609,0.0247713479036195,6.75237119744678,-0.807487392200203,0.000144701484585625,0.442730431927996,0.0754,-0.0402,0.652,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","arsC","Metal Resistance","Arsenical resistance ",537
"SphoTest_1",0.889944270032464,-0.00412513200551499,0.224745266101525,0.0362209792961207,3.95979094674433,-0.113887920362131,0.00417825839616946,0.912132942595334,0.0016,-0.1232,0.013,1,8,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","arsC","Metal Resistance","Arsenical resistance ",537
"SphoTest_2",0.605088262244553,0.0446903366766353,0.274836835676341,0.0442939667096131,2.20162723368395,1.00894862204645,0.0588443978182311,0.342538172678787,0.1129,0.002,1.018,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","arsC","Metal Resistance","Arsenical resistance ",537
"SphoTest_3",1.28008542428677,-0.0842283844482393,0.202091780607358,0.0325700395308376,6.33417856203584,-2.58606945713072,0.00022438560182268,0.0323099472326934,0.4553,0.3872,6.6878,1,8,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","arsC","Metal Resistance","Arsenical resistance ",537
"SynoFoet_2",0.811350329516068,0.00953338017394083,0.275441575581236,0.0443914293701384,2.94563494201614,0.214757224743788,0.0185490822704653,0.835329949420819,0.0057,-0.1186,0.0461,1,8,"43","SynoFoet","F",529804,"F","F16","Aulopiform","arsC","Metal Resistance","Arsenical resistance ",537
"SynoFoet_3",0.839125679143733,-0.00220144975983895,0.215993577771629,0.034810517010076,3.88495661677009,-0.0632409383406092,0.00464216716536382,0.951126229347224,5e-04,-0.1244,0.004,1,8,"44","SynoFoet","F",529804,"F","F17","Aulopiform","arsC","Metal Resistance","Arsenical resistance ",537
"UrobJama_1",0.78960813771174,0.00137793460013899,0.217720057623129,0.0350887644323294,3.62671288227629,0.0392699663961214,0.00671693701413389,0.969637463938775,2e-04,-0.1248,0.0015,1,8,"29","UrobJama","F",529810,"F","F18","Rajiform","arsC","Metal Resistance","Arsenical resistance ",537
"Wtr_A",0.823380344895512,0.0204690479338732,0.154199096313933,0.0248514345683457,5.33972224596698,0.823656593247355,0.000694366579599762,0.434000684230036,0.0782,-0.0371,0.6784,1,8,"WA","Wtr","A",529804,"W","Wtr",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"Wtr_B",1.06010097010039,-0.0194690255259067,0.115498297872025,0.0186142361462244,9.17849864138262,-1.04592127084708,1.60361801089018e-05,0.326167628971826,0.1203,0.0103,1.094,1,8,"WB","Wtr","B",529804,"W","Wtr",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"Wtr_C",1.12273234993406,-0.0455611107208891,0.083332356823763,0.0134302253549891,13.4729460767382,-3.39243084286475,8.83208343585628e-07,0.0094658513224441,0.5899,0.5387,11.5086,1,8,"WC","Wtr","C",529804,"W","Wtr",NA,"arsC","Metal Resistance","Arsenical resistance ",537
"AcanQuad_1",-0.167891880248811,0.346900313076952,0.996391549624133,0.150211677926547,-0.168499903789975,2.30940974673477,0.874367056448571,0.0820854979641397,0.5714,0.4643,5.3334,1,4,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"ArioFeli_2",1.67099509438763,0.0229443520079868,0.895048074941542,0.145515434165416,1.8669333426551,0.157676415148544,0.135310294416115,0.882351237583792,0.0062,-0.2423,0.0249,1,4,"16","ArioFeli","F",529804,"F","F2","Siluriform","arsM","Bioleaching","Arsenical resistance ",50
"ChaeFabe_1",0.759621124797153,0.327535018324504,0.756332290524279,0.160729581271351,1.0043483985995,2.03780172718514,0.361311108815198,0.0971404649118481,0.4537,0.3445,4.1526,1,5,"8","ChaeFabe","F",529804,"F","F3","Perciform","arsM","Bioleaching","Arsenical resistance ",50
"ChilShoe_1",1.49353410385513,0.134281719709626,1.84391948904806,0.297174533617774,0.809977937066105,0.451861463614979,0.463385693267137,0.674787039650438,0.0486,-0.1893,0.2042,1,4,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"ChilShoe_2",3.78128937921164,0.0490553874854964,1.13884560869798,0.195887399763523,3.32028270586627,0.25042645695801,0.0450445772192349,0.81842841763271,0.0205,-0.306,0.0627,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"GimnMicr_1",3.12170985164619,-0.149095993236777,1.13889158766977,0.162698798238539,2.74100703301651,-0.916392713719878,0.0518517512193004,0.411311377906222,0.1735,-0.0331,0.8398,1,4,"18","GimnMicr","F",529810,"F","F6","Rajiform","arsM","Bioleaching","Arsenical resistance ",50
"GimnMicr_2",0.38282958190854,0.297295548957259,0.549328380202611,0.0855821965221387,0.696904794482563,3.47380133998259,0.536010328871539,0.0402353868955877,0.8009,0.7345,12.0673,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","arsM","Bioleaching","Arsenical resistance ",50
"HaemBona",1.55661829961019,0.102533378283264,0.82665536974979,0.153506048441563,1.88303174039908,0.667943571762881,0.118414753913126,0.533758698753101,0.0819,-0.1017,0.4461,1,5,"7","HaemBona","F",529810,"F","F8","Perciform","arsM","Bioleaching","Arsenical resistance ",50
"OpsaBeta_1",1.61923503755844,-0.00316811997101711,0.41059653854342,0.0708082950350078,3.94361589920517,-0.0447422151522048,0.00759304761754008,0.965764701243639,3e-04,-0.1663,0.002,1,6,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","arsM","Bioleaching","Arsenical resistance ",50
"OrthChry_2",0.935548871357733,0.0828890651091267,0.421000802062817,0.0690788770832842,2.22220211166757,1.19991911578401,0.0769150282865364,0.283919797560905,0.2236,0.0683,1.4398,1,5,"39","OrthChry","F",529804,"F","F10","Perciform","arsM","Bioleaching","Arsenical resistance ",50
"PrioPunc_1",3.22774926845263,-0.0392866017032766,0.982250845397373,0.170557765744614,3.286074309406,-0.230341911033841,0.0303271048667157,0.829126928230126,0.0131,-0.2336,0.0531,1,4,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","arsM","Bioleaching","Arsenical resistance ",50
"Sdmt_A",2.45923334871679,-0.190546878602731,0.532599888092396,0.0986183363065103,4.6174124398054,-1.9321648056453,0.00990032258034636,0.12550256310896,0.4828,0.3534,3.7333,1,4,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"arsM","Bioleaching","Arsenical resistance ",50
"Sdmt_B",1.8316515664399,-0.100275462207677,0.561598866474914,0.0977618142633299,3.26149441493168,-1.02571196088461,0.0224085430792366,0.352065473400959,0.1738,0.0086,1.0521,1,5,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"arsM","Bioleaching","Arsenical resistance ",50
"Sdmt_C",2.53348597220921,-0.0947769468398377,0.482140307563245,0.0792633783024911,5.25466535874907,-1.19572176797893,0.00331342971655871,0.28541482512509,0.2224,0.0668,1.4298,1,5,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"arsM","Bioleaching","Arsenical resistance ",50
"SphoSpen_1",2.07117961444386,-0.00668618144700521,0.897293569851181,0.142128598610263,2.30825193006495,-0.0470431814031999,0.0690576727446556,0.964299987119592,4e-04,-0.1995,0.0022,1,5,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"SphoTest_1",2.7838688125337,-0.112884320031224,0.94389042409922,0.143663791289096,2.94935592252716,-0.785753452684999,0.0419962506406953,0.475945087125337,0.1337,-0.0829,0.6174,1,4,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"SphoTest_2",1.69016178494935,-0.0670495664794996,0.562226876379067,0.0987296719423977,3.0061917278565,-0.679122751654828,0.0298859559592624,0.527218033448541,0.0845,-0.0987,0.4612,1,5,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"SphoTest_3",2.41497455027494,-0.0419904804945408,0.647733169824487,0.105473460237781,3.72834781786659,-0.398114183415209,0.0135941942862986,0.706976324852023,0.0307,-0.1631,0.1585,1,5,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","arsM","Bioleaching","Arsenical resistance ",50
"SynoFoet_2",1.4746449935062,0.169518472402084,1.04393056150704,0.174392581764174,1.41258915859056,0.972050936382824,0.230642171187756,0.386068489360931,0.1911,-0.0111,0.9449,1,4,"43","SynoFoet","F",529804,"F","F16","Aulopiform","arsM","Bioleaching","Arsenical resistance ",50
"SynoFoet_3",1.85946180283616,0.0393367789970211,1.19031386804426,0.190952813419902,1.56216091633994,0.206002615476108,0.179008519196972,0.844914104894148,0.0084,-0.1899,0.0424,1,5,"44","SynoFoet","F",529804,"F","F17","Aulopiform","arsM","Bioleaching","Arsenical resistance ",50
"UrobJama_1",2.07198562591783,1.3381123273146e-05,1.03833625448634,0.174270485681709,1.99548616063957,7.6783645955894e-05,0.0930062392575556,0.999941224764698,0,-0.1667,0,1,6,"29","UrobJama","F",529810,"F","F18","Rajiform","arsM","Bioleaching","Arsenical resistance ",50
"Wtr_A",1.919672748955,0.0221919485812127,1.48866776215691,0.261129599776713,1.28952396078868,0.0849844238270523,0.266726708072,0.936357404947755,0.0018,-0.2477,0.0072,1,4,"WA","Wtr","A",529804,"W","Wtr",NA,"arsM","Bioleaching","Arsenical resistance ",50
"Wtr_B",3.73851101053275,-0.357130390858838,0.769519640173704,0.132529551170441,4.85823988805387,-2.6947227067837,0.00464028152077739,0.0430547961368308,0.5922,0.5107,7.2615,1,5,"WB","Wtr","B",529804,"W","Wtr",NA,"arsM","Bioleaching","Arsenical resistance ",50
"Wtr_C",2.18199617126332,-0.139835840564757,0.283327212052512,0.048236827920274,7.70132934092792,-2.89894353741251,0.000251140168421861,0.0273721723556185,0.5834,0.514,8.4039,1,6,"WC","Wtr","C",529804,"W","Wtr",NA,"arsM","Bioleaching","Arsenical resistance ",50
"AcanQuad_1",0.996380244150795,0.00459868279899847,0.281802770577899,0.0454166287715293,3.53573615372019,0.101255485565262,0.00766746217047438,0.921839430831557,0.0013,-0.1236,0.0103,1,8,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"ArioFeli_2",0.778402487337741,0.0385758046341623,0.237147731199052,0.0382198175333428,3.28235266431617,1.00931420199767,0.0111485752494531,0.342373273187786,0.113,0.0021,1.0187,1,8,"16","ArioFeli","F",529804,"F","F2","Siluriform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"ChaeFabe_1",0.413110371972962,0.0951564748399172,0.187793883704929,0.0302657247985887,2.19980738362098,3.14403423255716,0.0590116303395759,0.0137214279182127,0.5527,0.4968,9.885,1,8,"8","ChaeFabe","F",529804,"F","F3","Perciform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"ChilShoe_1",0.985208398985262,0.0171047679927033,0.329807387006432,0.0531532732309978,2.98722356684524,0.321800840342757,0.0174075051741897,0.755851109808388,0.0128,-0.1106,0.1036,1,8,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"ChilShoe_2",0.494973343090374,0.0825543716540658,0.344506566005496,0.0555222604289508,1.43676025925868,1.48686978909489,0.188718223576228,0.17536126153633,0.2165,0.1186,2.2108,1,8,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"GimnMicr_1",0.613207157522935,0.0693461282100459,0.315079230639518,0.0507796159073546,1.94619986940524,1.36562923864106,0.0875043965650084,0.20921284880479,0.189,0.0877,1.8649,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"GimnMicr_2",0.400779978437309,0.113180100884009,0.293691414711551,0.0473326572623339,1.36462953413512,2.39116304535209,0.209514166373451,0.0437763018617319,0.4168,0.3439,5.7177,1,8,"19","GimnMicr","F",529810,"F","F7","Rajiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"HaemBona",1.17146230143208,-0.00481980092229632,0.440614969917139,0.0710115322105166,2.65869836799321,-0.0678734956458597,0.0288636896999405,0.947552070775925,6e-04,-0.1244,0.0046,1,8,"7","HaemBona","F",529810,"F","F8","Perciform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"OpsaBeta_1",0.691000370802582,0.0665748220350871,0.256680907510127,0.041367873939707,2.69205987116638,1.60933632054958,0.0274090350569561,0.14620911627973,0.2446,0.1501,2.59,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"OrthChry_2",0.674035396778571,0.089341059303076,0.292353074983494,0.0471169642850267,2.30555261584516,1.8961548278582,0.0500352543129104,0.0945259923594058,0.3101,0.2238,3.5954,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"PrioPunc_1",0.635869500953822,0.0617345837700522,0.292541108484868,0.0471472686277094,2.17360734102336,1.3093989443488,0.0614719420358369,0.226752469971384,0.1765,0.0736,1.7145,1,8,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Sdmt_A",1.26401206172706,-0.0262587047019627,0.318642116704191,0.0513538269891784,3.96687065351283,-0.511329072076674,0.00413702025787601,0.622930905732802,0.0316,-0.0894,0.2615,1,8,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Sdmt_B",0.661977656505669,0.0624546407335831,0.19182330197103,0.0309151243526862,3.45097623544008,2.02019697611718,0.00868231247354925,0.0780347651412125,0.3378,0.255,4.0812,1,8,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Sdmt_C",0.724890072010623,0.0460944760765548,0.257881828506956,0.041561419883152,2.81093893357077,1.10906884813241,0.0228100383201172,0.299624593675755,0.1333,0.0249,1.23,1,8,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SphoSpen_1",0.794045794094896,0.045336550336106,0.266971557058969,0.0430263622839459,2.97427112776477,1.05369238600545,0.0177549847924057,0.322805179949364,0.1219,0.0121,1.1103,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SphoTest_1",0.58556144265222,0.0648171701541518,0.318438329224669,0.0513209836630225,1.83885352017121,1.26297599008909,0.103226695431412,0.242163575867523,0.1662,0.062,1.5951,1,8,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SphoTest_2",0.593915839071767,0.0689894568027531,0.324764689488495,0.0523405689388802,1.82875743051742,1.31808763644343,0.104836499638869,0.223962656198794,0.1784,0.0757,1.7374,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SphoTest_3",0.853900863911772,0.0324421882381176,0.245738737488878,0.0396043835638285,3.47483214342802,0.819156500336184,0.00838301323163001,0.436418272735728,0.0774,-0.0379,0.671,1,8,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SynoFoet_2",0.704747773144817,0.0884358148218996,0.421189850529186,0.0678808907541671,1.67323066370039,1.30280869681238,0.132819006510178,0.22888820717751,0.175,0.0719,1.6973,1,8,"43","SynoFoet","F",529804,"F","F16","Aulopiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"SynoFoet_3",0.484380912356594,0.104211898673835,0.377962415227104,0.0609141587456992,1.28155841121278,1.71079927589401,0.235891678767852,0.125483760422867,0.2679,0.1763,2.9268,1,8,"44","SynoFoet","F",529804,"F","F17","Aulopiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"UrobJama_1",0.328248948911497,0.102287554293358,0.33299655078971,0.0536672535135184,0.985742789626638,1.90595843082583,0.353129918102675,0.0931092983811291,0.3123,0.2263,3.6327,1,8,"29","UrobJama","F",529810,"F","F18","Rajiform","Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Wtr_A",1.03108542371291,-0.000174751907281174,0.406214970888046,0.0654674703744977,2.53827529167328,-0.00266929371612389,0.0348041018686521,0.997935576224624,0,-0.125,0,1,8,"WA","Wtr","A",529804,"W","Wtr",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Wtr_B",1.14388342717154,0.000483929511113917,0.190103119405934,0.0306378918300321,6.01717336751831,0.0157951308725346,0.000317268864198725,0.987784648126324,0,-0.125,2e-04,1,8,"WB","Wtr","B",529804,"W","Wtr",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"Wtr_C",0.728519050367698,0.071370023337519,0.167887794919351,0.0270575681051194,4.33932109667447,2.63771019850138,0.00248065218046531,0.0298191232757796,0.4652,0.3983,6.9575,1,8,"WC","Wtr","C",529804,"W","Wtr",NA,"Arylesterase","Organic Remediation","Aromatic compound degradation",310
"ChaeFabe_1",4.51107863116006,-0.236748190856936,1.91338836744991,0.410273530551174,2.35763878776594,-0.57704963451793,0.142447752331385,0.622204241462927,0.1427,-0.2859,0.333,1,2,"8","ChaeFabe","F",529804,"F","F3","Perciform","assA","Carbon cycling","Hydrocarbons degradation",22
"GimnMicr_1",5.69001801325183,-0.487634757318814,0.586204129275548,0.111280067289004,9.70654713791211,-4.38204944693632,0.0104477452601759,0.0483325862562596,0.9057,0.8585,19.2024,1,2,"18","GimnMicr","F",529810,"F","F6","Rajiform","assA","Carbon cycling","Hydrocarbons degradation",22
"HaemBona",3.29991087344029,0,0,0,Inf,NA,0,NA,NA,NA,NA,1,2,"7","HaemBona","F",529810,"F","F8","Perciform","assA","Carbon cycling","Hydrocarbons degradation",22
"OrthChry_2",2.45395495010581,-0.000863135677972137,0.00374330352808407,0.000626061533278331,655.558634691271,-1.37867546893096,2.32688757194609e-06,0.301947302726003,0.4873,0.2309,1.9007,1,2,"39","OrthChry","F",529804,"F","F10","Perciform","assA","Carbon cycling","Hydrocarbons degradation",22
"Sdmt_B",2.11582301949272,-0.000638965303707431,0.00784237207804108,0.00188006480400718,269.793756077591,-0.339863446379899,1.12293232483484e-07,0.75636309047932,0.0371,-0.2839,0.1155,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"assA","Carbon cycling","Hydrocarbons degradation",22
"SphoTest_2",1.95432450309787,0.000531523315306606,0.00631684844095759,0.00104557219342904,309.38283882613,0.508356399153494,1.04472203289198e-05,0.661728553646999,0.1144,-0.3284,0.2584,1,2,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","assA","Carbon cycling","Hydrocarbons degradation",22
"UrobJama_1",3.14180423874846,-0.000392969094157648,0.015674708120637,0.00310405474650505,200.43781450782,-0.126598635091763,2.48899754326338e-05,0.910837789232145,0.0079,-0.4881,0.016,1,2,"29","UrobJama","F",529810,"F","F18","Rajiform","assA","Carbon cycling","Hydrocarbons degradation",22
"AcanQuad_1",0.681921176633444,0.0222873777891942,0.230560444978472,0.0371581802319125,2.95766768101579,0.599797343413851,0.0182109998725557,0.565238636537412,0.043,-0.0766,0.3598,1,8,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"ArioFeli_2",1.01500495663896,-0.0129233889609602,0.317811128056857,0.0512199010422053,3.19373636425145,-0.252311868980599,0.0127316581862677,0.807161540289828,0.0079,-0.1161,0.0637,1,8,"16","ArioFeli","F",529804,"F","F2","Siluriform","atzA","Organic Remediation","Herbicides related compound",394
"ChaeFabe_1",0.962719313488802,-0.00117664460268239,0.145784229886154,0.0234952560470037,6.60372740069765,-0.0500800927782375,0.000168729863258012,0.961286358653386,3e-04,-0.1246,0.0025,1,8,"8","ChaeFabe","F",529804,"F","F3","Perciform","atzA","Organic Remediation","Herbicides related compound",394
"ChilShoe_1",0.855249325205334,0.0177262850316391,0.202089768351969,0.0325697152265172,4.2320268471771,0.544256678584863,0.00286843162811723,0.601100747723098,0.0357,-0.0848,0.2962,1,8,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"ChilShoe_2",0.560109470263236,0.0721200499483807,0.245342307928129,0.0395404931550944,2.28297139206547,1.82395423510515,0.0518303787618074,0.10561068134064,0.2937,0.2054,3.3268,1,8,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"GimnMicr_1",0.603393827390185,0.0299258826602907,0.22243214008903,0.0358481852842101,2.71270971519077,0.834794911458796,0.0265465246646793,0.42805674032314,0.0801,-0.0349,0.6969,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","atzA","Organic Remediation","Herbicides related compound",394
"GimnMicr_2",0.746887637769913,0.0213890382843187,0.37832477173491,0.0609725577847301,1.97419702216394,0.35079778610953,0.083797807494117,0.734798501369263,0.0151,-0.108,0.1231,1,8,"19","GimnMicr","F",529810,"F","F7","Rajiform","atzA","Organic Remediation","Herbicides related compound",394
"HaemBona",0.59005565514976,0.0665805846607435,0.311202980672255,0.0501549016597699,1.89604756958025,1.32749905706921,0.0945416053742759,0.220973920482219,0.1805,0.0781,1.7623,1,8,"7","HaemBona","F",529810,"F","F8","Perciform","atzA","Organic Remediation","Herbicides related compound",394
"OpsaBeta_1",0.724177095586887,0.0327523189914017,0.192087794803191,0.0309577512322813,3.77003180409699,1.05796828541115,0.00546539552302417,0.320966618128675,0.1227,0.0131,1.1193,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","atzA","Organic Remediation","Herbicides related compound",394
"OrthChry_2",0.402336254590601,0.0736416555408398,0.211570526164,0.0340976776987767,1.901664952512,2.15972642452075,0.093727220608959,0.0628161669607007,0.3683,0.2893,4.6644,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","atzA","Organic Remediation","Herbicides related compound",394
"PrioPunc_1",1.11415127074954,-0.0211363811692225,0.2485726605037,0.0400611116125533,4.48219554190655,-0.527603461772123,0.00204982446885339,0.612089860277815,0.0336,-0.0872,0.2784,1,8,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","atzA","Organic Remediation","Herbicides related compound",394
"Sdmt_A",0.506447395279684,0.0138073542857762,0.142642490863103,0.0229889189566539,3.55046657006102,0.60060911571398,0.00750432969555157,0.564723696141557,0.0431,-0.0765,0.3607,1,8,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"atzA","Organic Remediation","Herbicides related compound",394
"Sdmt_B",0.670080369666589,0.036934699984357,0.301440048680306,0.0485814627007037,2.22293080365459,0.760263234804208,0.0569212748586221,0.468908450088155,0.0674,-0.0492,0.578,1,8,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"atzA","Organic Remediation","Herbicides related compound",394
"Sdmt_C",0.891126293592296,-0.017610267383269,0.194693072489792,0.0313776297497865,4.57708269840478,-0.561236381578147,0.00180891135268517,0.590006906338223,0.0379,-0.0824,0.315,1,8,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"atzA","Organic Remediation","Herbicides related compound",394
"SphoSpen_1",0.614716012457944,0.0583604284957107,0.255308687518518,0.0411467206635204,2.40773636977534,1.41834944692085,0.04265861137142,0.193846747049838,0.2009,0.1011,2.0117,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"SphoTest_1",0.848064661426339,0.0222225766869182,0.185131809424908,0.0298366926812323,4.58086951162395,0.744806970542566,0.00179995739324678,0.477695426783056,0.0648,-0.052,0.5547,1,8,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"SphoTest_2",0.650693265163642,0.0249586768374742,0.170641929012983,0.0275014370048501,3.81320856443281,0.907540825342058,0.00513911899117045,0.390638663625696,0.0933,-0.02,0.8236,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
"SphoTest_3",0.849120085826961,-0.0034443083819803,0.269798932839683,0.0434820351503516,3.14723292968515,-0.0792122164951714,0.0136553604323405,0.938809408072799,8e-04,-0.1241,0.0063,1,8,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","atzA","Organic Remediation","Herbicides related compound",394
