"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"Sdmt_A",1.46301400306759,0.0631831082836741,0.477107452451893,0.143853309496842,3.06642454555895,0.439219010703826,0.0547158657097331,0.69021435083643,0.0604,-0.2528,0.1929,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"Sdmt_B",0.446061538010692,0.294451710037949,0.66548714089819,0.200651922651425,0.670278222669569,1.46747514874041,0.550663183699018,0.238537700368438,0.4179,0.2238,2.1535,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"Sdmt_C",1.4503534111229,-0.0193398058767418,0.345146374444427,0.104065547434879,4.20214007305594,-0.185842542065557,0.0245988716801201,0.864423945570777,0.0114,-0.3182,0.0345,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SphoSpen_1",0.719605260036792,0.102580068688266,0.548176722705392,0.165281500729135,1.31272494841692,0.620638536289522,0.280667019281654,0.578796086276221,0.1138,-0.1816,0.3852,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SphoTest_1",0.0831920865799468,0.192982202090392,0.3460564202666,0.10433993657435,0.240400355860631,1.8495526106907,0.825511372723289,0.161496450666203,0.5328,0.377,3.4208,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SphoTest_2",1.352639948203,-0.017543893502576,0.539277127658916,0.162598171860474,2.50824646332585,-0.107897237108117,0.0870718387556712,0.920888662134286,0.0039,-0.3282,0.0116,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SphoTest_3",0.60872855002498,0.165433282922878,0.438910674887942,0.129427696965489,1.38690759840916,1.27819073352584,0.299819523543731,0.329472097921364,0.4496,0.1744,1.6338,1,2,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SynoFoet_2",0.0656547923459321,0.280333654412628,1.00341567635518,0.273095156331095,0.065431300200947,1.02650540631617,0.953782524681497,0.412582193510123,0.3451,0.0176,1.0537,1,2,"43","SynoFoet","F",529804,"F","F16","Aulopiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"SynoFoet_3",0.511725707870696,0.15810863606854,0.742412056502819,0.207916963372635,0.689274511894666,0.760441252622435,0.561877153048879,0.526411230432366,0.2243,-0.1636,0.5783,1,2,"44","SynoFoet","F",529804,"F","F17","Aulopiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"UrobJama_1",0.686163376481898,0.0819044952881607,0.669765599463995,0.201941926446321,1.0244828594228,0.405584401067561,0.381002050391691,0.712240463807792,0.052,-0.264,0.1645,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"Wtr_A",0.932058330659418,0.186110667540748,0.825225568961221,0.248814870877448,1.12945886036066,0.74798852208643,0.340855137866406,0.508764037684292,0.1572,-0.1238,0.5595,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"Wtr_B",0.941220220921203,0.150117103968753,0.373645189651105,0.112658263526718,2.51902137907912,1.33249971435208,0.0862508634350373,0.274866715521637,0.3718,0.1624,1.7756,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"Wtr_C",1.21049035196326,0.0181278831956145,0.310512758123416,0.0936231192103412,3.89835947250239,0.193626140087118,0.0299537310281255,0.858837085741398,0.0123,-0.3169,0.0375,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"chqB","Organic Remediation","Aromatic hydrocarbons catabolism ",126
"AcanQuad_1",1.21658479373764,0.0028129663495533,0.0911508255722876,0.0274830079776736,13.3469421269566,0.102352928465417,0.000909112863566976,0.924934443149851,0.0035,-0.3287,0.0105,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"ArioFeli_2",1.21354570723412,0.0105306109027643,0.117628112948522,0.0354662104952538,10.3167999283064,0.296919539914576,0.00194239816327468,0.785899037972047,0.0285,-0.2953,0.0882,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","ChrA","Metal Resistance","Chromium",965
"ChaeFabe_1",1.4003739780046,-0.0422047797921241,0.131991814246451,0.039797029386706,10.60955170591,-1.06050075702943,0.00178921079558525,0.366734166261859,0.2727,0.0302,1.1247,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","ChrA","Metal Resistance","Chromium",965
"ChilShoe_1",1.29574513862831,-0.00726606424535921,0.197682447028701,0.0596035004030462,6.55467978115519,-0.121906669846992,0.00722058702838273,0.910680411268312,0.0049,-0.3268,0.0149,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"ChilShoe_2",1.43462491552151,-0.061960544524185,0.107600673284287,0.0324428236794179,13.3328618839694,-1.90983821681013,0.000911957789952779,0.152150213118748,0.5487,0.3983,3.6475,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"GimnMicr_1",1.31825918100533,-0.0129904903455592,0.0779187975839097,0.0234934014274072,16.9183717136512,-0.552942084001705,0.000449738056926983,0.618836963684513,0.0925,-0.21,0.3057,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","ChrA","Metal Resistance","Chromium",965
"GimnMicr_2",0.879110784628805,0.116016003671447,0.116320424011054,0.0350719274454285,7.55766489077843,3.30794490413926,0.00480386825916965,0.0454620327673077,0.7848,0.7131,10.9425,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","ChrA","Metal Resistance","Chromium",965
"HaemBona",1.00769306089932,0.104387981653132,0.318403757655235,0.0960023450892423,3.16482779072741,1.08734824712974,0.0506821584956846,0.356437075030871,0.2827,0.0436,1.1823,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","ChrA","Metal Resistance","Chromium",965
"OpsaBeta_1",1.19780586330721,0.0216935797395794,0.197815164593712,0.0596435162545219,6.05517714360958,0.363720670776762,0.00903672766850515,0.740187982196135,0.0422,-0.277,0.1323,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","ChrA","Metal Resistance","Chromium",965
"OrthChry_2",1.31652241400239,-0.00298393695296864,0.190350119163789,0.0573927203696117,6.91632040886494,-0.0519915580539126,0.00619569632269572,0.961803675109476,9e-04,-0.3321,0.0027,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","ChrA","Metal Resistance","Chromium",965
"PrioPunc_1",1.18123606021165,0.0188423462325429,0.328597497062492,0.0990758731641998,3.59478106428486,0.190180975759005,0.0368980800489391,0.861308591252213,0.0119,-0.3174,0.0362,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","ChrA","Metal Resistance","Chromium",965
"Sdmt_A",1.05754624877515,0.0108263204938321,0.156245634481464,0.0471098313369119,6.7684850990228,0.229810215545165,0.00658991446984378,0.833017067111994,0.0173,-0.3103,0.0528,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"ChrA","Metal Resistance","Chromium",965
"Sdmt_B",1.18259527807993,-0.0247099276922106,0.299190025397025,0.0902091868417124,3.95265609710961,-0.273918084812896,0.0288936911213196,0.801924947528072,0.0244,-0.3008,0.075,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"ChrA","Metal Resistance","Chromium",965
"Sdmt_C",1.02506802587706,0.0316568406164635,0.0590504277957344,0.017804373882584,17.3591972851229,1.77803728596318,0.00041659849287831,0.173459339755226,0.5131,0.3508,3.1614,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"ChrA","Metal Resistance","Chromium",965
"SphoSpen_1",1.09658002755544,0.0568808869585083,0.273601050656955,0.0824938206614674,4.00795254595109,0.689516942025662,0.0278631986168262,0.540045077053709,0.1368,-0.1509,0.4754,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"SphoTest_1",1.06364359265376,0.0538570619396386,0.180506939401059,0.0544248900044302,5.89253574506908,0.989566757695876,0.0097560413389179,0.395338873829409,0.2461,-0.0052,0.9792,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"SphoTest_2",1.1250050192069,0.0106809273416648,0.140551793807711,0.0423779603337796,8.00420249880281,0.25203967481066,0.00407039010097757,0.817290901678964,0.0207,-0.3057,0.0635,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"SphoTest_3",1.19116149144697,0.035679518733132,0.289107424943138,0.0871691684220204,4.12013455441778,0.409313515076722,0.0259137854582113,0.709779123846723,0.0529,-0.2628,0.1675,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","ChrA","Metal Resistance","Chromium",965
"SynoFoet_2",1.33454980819697,-0.031261662424307,0.184456904070114,0.0556158491628315,7.23502226671707,-0.562099885102527,0.00544579513247894,0.613309718428698,0.0953,-0.2063,0.316,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","ChrA","Metal Resistance","Chromium",965
"SynoFoet_3",1.22100824584098,0.0151662516892043,0.198231229332337,0.0597689644932958,6.15951507718264,0.253747941222999,0.0086115992417975,0.816087023068397,0.021,-0.3053,0.0644,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","ChrA","Metal Resistance","Chromium",965
"UrobJama_1",1.00691238057203,0.0892029447941185,0.312900499924818,0.0943430504513863,3.21799543565437,0.945516859666135,0.0486585409244057,0.41414986559517,0.2296,-0.0272,0.894,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","ChrA","Metal Resistance","Chromium",965
"Wtr_A",0.806860106297214,0.0751732736372072,0.29553713417065,0.0891077986964517,2.73014796790752,0.843621711420424,0.0719317506648504,0.460834306873968,0.1917,-0.0777,0.7117,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"ChrA","Metal Resistance","Chromium",965
"Wtr_B",1.11303960039668,0.00717446160221902,0.221981410352743,0.066929913506724,5.01411176110641,0.107193648195859,0.0152739507748162,0.921401908873359,0.0038,-0.3282,0.0115,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"ChrA","Metal Resistance","Chromium",965
"Wtr_C",1.31401289635387,-0.0359270141121077,0.227037803501186,0.0684544734036247,5.78763922170786,-0.524830771836824,0.0102601767077587,0.636014778680395,0.0841,-0.2212,0.2754,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"ChrA","Metal Resistance","Chromium",965
"AcanQuad_1",0.724286026512342,0.0801251092791095,0.194993977076276,0.0587928962128336,3.71440204139753,1.36283657449111,0.03393809183193,0.266213662478049,0.3824,0.1765,1.8573,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","clpC","Stress","Heat shock",379
"ArioFeli_2",0.897515565395714,-0.0147498586691678,0.182185932814588,0.0549311255660806,4.92637138076473,-0.268515500404669,0.0160304630269755,0.805708589130152,0.0235,-0.302,0.0721,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","clpC","Stress","Heat shock",379
"ChaeFabe_1",0.660425538886393,0.105687807877808,0.37124698402696,0.111935177324408,1.77893846226757,0.944187612903007,0.173302370443338,0.414730209658834,0.2291,-0.0279,0.8915,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","clpC","Stress","Heat shock",379
"ChilShoe_1",0.820380777874162,0.0269284895817027,0.295781345910473,0.0891814313064873,2.77360553400982,0.301951753713823,0.0693594727272842,0.782411421384057,0.0295,-0.294,0.0912,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","clpC","Stress","Heat shock",379
"ChilShoe_2",1.01938740392337,-1.75541673428835e-17,0.167570422204259,0.0505243833102696,6.08333732477437,-3.47439517174976e-16,0.00891932307368914,1,0,-0.3333,0,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","clpC","Stress","Heat shock",379
"GimnMicr_1",0.807277378303856,0.0230700294652727,0.319047049480777,0.0961963048725174,2.53027689683272,0.239822407896497,0.0854033937177563,0.825920354730005,0.0188,-0.3083,0.0575,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","clpC","Stress","Heat shock",379
"GimnMicr_2",1.22588244220845,-0.0818234331921074,0.474536996855385,0.143078287973761,2.58332321891023,-0.57187875498701,0.0815444401383124,0.607445402964906,0.0983,-0.2023,0.327,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","clpC","Stress","Heat shock",379
"HaemBona",0.99524595369146,0.0186039240628908,0.522140273881733,0.157431216036283,1.90608923209951,0.118171761174754,0.15271271926762,0.913399774288732,0.0046,-0.3272,0.014,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","clpC","Stress","Heat shock",379
"OpsaBeta_1",0.84716892390539,0.0183602668536606,0.477747623748368,0.144046328405202,1.77325617500423,0.1274608458052,0.17429486323594,0.906639503010657,0.0054,-0.3262,0.0162,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","clpC","Stress","Heat shock",379
"OrthChry_2",1.1602759960832,-0.0642169593053429,0.0763092675423312,0.0230081098604326,15.2049159093233,-2.79105757469361,0.000617727626987998,0.0683587223153629,0.722,0.6293,7.79,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","clpC","Stress","Heat shock",379
"PrioPunc_1",1.53840030474143,-0.140430204638029,0.357215723570013,0.107704593117913,4.30664218631438,-1.30384601596599,0.023045362055523,0.283313174681083,0.3617,0.1489,1.7,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","clpC","Stress","Heat shock",379
"Sdmt_A",0.979616930460673,-0.0353435960058202,0.23660101809194,0.0713378910933687,4.14037495848816,-0.495439316527617,0.0255809738247201,0.654308604947692,0.0756,-0.2325,0.2455,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"clpC","Stress","Heat shock",379
"Sdmt_B",0.831828639468564,0.00520793496650055,0.413471421381161,0.124666324205113,2.01181652818935,0.0417749941670852,0.137741230609679,0.969302887879451,6e-04,-0.3326,0.0017,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"clpC","Stress","Heat shock",379
"Sdmt_C",1.27095974968846,-0.0942308249817648,0.322398120614116,0.0972066908357062,3.94220582696786,-0.969386203476764,0.02909391987732,0.403855652790906,0.2385,-0.0153,0.9397,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"clpC","Stress","Heat shock",379
"SphoSpen_1",0.828374023427128,0.0426020373044178,0.276012583917218,0.0832209252972632,3.00121832008781,0.511914967927169,0.0576129451147483,0.644012360159647,0.0803,-0.2262,0.2621,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","clpC","Stress","Heat shock",379
"SphoTest_1",0.936439976978954,0.0365193988499868,0.234038933829381,0.0705653936224429,4.00121450588062,0.517525616669585,0.0279862094755395,0.640530148885373,0.082,-0.2241,0.2678,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","clpC","Stress","Heat shock",379
"SphoTest_2",0.928157985052773,0.0280356760561558,0.0694051837027425,0.0209264502588806,13.3730354929685,1.33972440186114,0.00090387177641214,0.272779281839864,0.3743,0.1658,1.7949,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","clpC","Stress","Heat shock",379
"SphoTest_3",0.735452122286689,0.073181604498405,0.199236557208584,0.0600720822530048,3.69135128909466,1.21822986242073,0.0344841839272823,0.310204111972661,0.331,0.108,1.4841,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","clpC","Stress","Heat shock",379
"SynoFoet_2",1.00017918372018,-0.0391941636475697,0.267199399785156,0.0805636502995938,3.74319397620047,-0.486499351777352,0.0332714367220241,0.659939210691276,0.0731,-0.2358,0.2367,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","clpC","Stress","Heat shock",379
"SynoFoet_3",0.730701021796114,0.0718472433956208,0.460946645761393,0.138980642942128,1.5852182210571,0.516958634487957,0.211095332754246,0.640881482527095,0.0818,-0.2243,0.2672,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","clpC","Stress","Heat shock",379
"UrobJama_1",0.693483877933346,0.127404434848431,0.425880790968718,0.12840788991482,1.62835209438757,0.99218540957994,0.201935001169249,0.394246168102078,0.2471,-0.0039,0.9844,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","clpC","Stress","Heat shock",379
"Wtr_A",0.676265377994074,0.043223636268328,0.247561404827964,0.0746425720352396,2.73170762810958,0.579074850849482,0.0718374037849939,0.603155040665653,0.1005,-0.1993,0.3353,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"clpC","Stress","Heat shock",379
"Wtr_B",1.25741351610765,-0.0814800102026124,0.36711178129924,0.110688366789872,3.42515162999552,-0.736120809852513,0.0416855209277455,0.514991975552397,0.153,-0.1293,0.5419,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"clpC","Stress","Heat shock",379
"Wtr_C",1.31522482948353,-0.102771359994933,0.243151468706494,0.0733129262657531,5.40907622923359,-1.4018177316016,0.0123904786953385,0.255518999434847,0.3958,0.1944,1.9651,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"clpC","Stress","Heat shock",379
"Sdmt_A",2.08632840210737,-0.333758907277532,0.324455906579256,0.118474545966165,6.43023708245462,-2.81713598947111,0.0233415563708258,0.10629035770916,0.7987,0.6981,7.9363,1,2,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"cmuA","Organic Remediation","Aromatic compound degradation",32
"SphoTest_2",3.7088490324424,-0.876983074184682,0.884115586389597,0.322833366738326,4.19498206969518,-2.71651930853704,0.0523987562743766,0.11300028288932,0.7868,0.6802,7.3795,1,2,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","cmuA","Organic Remediation","Aromatic compound degradation",32
"Wtr_A",1.32201343447527,-0.147028327519861,0.280746648046932,0.0846482993383306,4.70891974551473,-1.73693185414398,0.0181274396080462,0.180795616270064,0.5014,0.3352,3.0169,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"cmuA","Organic Remediation","Aromatic compound degradation",32
"Wtr_B",1.85210556189326,-0.222504886445549,0.679012932508804,0.20473010226642,2.72764401563036,-1.08682057002051,0.0720835414937066,0.356636713212746,0.2825,0.0433,1.1812,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"cmuA","Organic Remediation","Aromatic compound degradation",32
"AcanQuad_1",1.91296002566022,-0.136020903228419,0.591390577628148,0.178310968231283,3.23468127160971,-0.762829704631458,0.0480445868333708,0.501062676709789,0.1625,-0.1167,0.5819,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"ArioFeli_2",1.27841566047123,-0.0115978088242555,0.118303972231514,0.0356699897364142,10.8061938779996,-0.325141916495023,0.00169520880266141,0.766429262815159,0.034,-0.2879,0.1057,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","CODH","Carbon cycling","Carbon fixation",247
"ChaeFabe_1",1.18947600381426,-0.0130610650503252,0.390624587836252,0.117777744703643,3.04506178272854,-0.110895866474519,0.0556444041819199,0.918701837354547,0.0041,-0.3279,0.0123,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","CODH","Carbon cycling","Carbon fixation",247
"ChilShoe_1",1.57658125268588,-0.0555238588397229,0.189981956182598,0.057281715054129,8.29858416222735,-0.969312088286026,0.00366614349098067,0.403887245483902,0.2385,-0.0153,0.9396,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"ChilShoe_2",1.2662257650816,-7.0216669371534e-17,0.433779282914657,0.130789374841576,2.91905541586393,-5.36868300323223e-16,0.0615431869196469,1,0,-0.3333,0,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"GimnMicr_1",1.73359253539781,-0.14507367875839,0.499143310677266,0.150497370739299,3.47313586762402,-0.963961549930968,0.0402547861336317,0.406174084592511,0.2365,-0.018,0.9292,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","CODH","Carbon cycling","Carbon fixation",247
"GimnMicr_2",1.39544788246927,-0.047252092722209,0.436714024802385,0.131674232814134,3.19533562747548,-0.358856032135826,0.0495082797264294,0.743472008578273,0.0412,-0.2785,0.1288,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","CODH","Carbon cycling","Carbon fixation",247
"HaemBona",1.63143454043622,-0.133053728898526,0.829194962786318,0.250011688146811,1.96749210216396,-0.532190034333092,0.143797778797265,0.631487291232216,0.0863,-0.2183,0.2832,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","CODH","Carbon cycling","Carbon fixation",247
"OpsaBeta_1",1.63167610233432,-0.101625104487599,0.505994846067557,0.152563186387248,3.22468917423809,-0.666118130422673,0.0484110603147285,0.552980264276521,0.1288,-0.1615,0.4437,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","CODH","Carbon cycling","Carbon fixation",247
"OrthChry_2",0.753487519246945,0.11996718891874,0.431442037075621,0.13008466870604,1.74643974044392,0.922223887811384,0.179067615482578,0.424428235043022,0.2209,-0.0388,0.8505,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","CODH","Carbon cycling","Carbon fixation",247
"PrioPunc_1",0.874223321323983,0.106307460251791,0.520398022475269,0.156905907472128,1.67991284280011,0.677523631611352,0.191566116773731,0.546645514452954,0.1327,-0.1564,0.459,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","CODH","Carbon cycling","Carbon fixation",247
"Sdmt_A",1.09275443357432,0.0969008130777479,0.213286210421692,0.0643082120841403,5.12341811228121,1.50681864628679,0.0143952599132012,0.228953517973371,0.4308,0.2411,2.2705,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"CODH","Carbon cycling","Carbon fixation",247
"Sdmt_B",1.28188161445473,0.0559412400260544,0.306965922037811,0.0925537078931733,4.17597369097157,0.604419221006495,0.0250088851841151,0.588215541105784,0.1086,-0.1886,0.3653,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"CODH","Carbon cycling","Carbon fixation",247
"Sdmt_C",1.24831292462572,0.057297197803639,0.291308920046441,0.0878329441706985,4.28518606442504,0.652342903276532,0.0233537501371687,0.560706025839612,0.1242,-0.1677,0.4256,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"CODH","Carbon cycling","Carbon fixation",247
"SphoSpen_1",0.995826607481936,0.0783970584941725,0.268568313413752,0.0809763932883625,3.70790803585151,0.968147077321599,0.0340908135765879,0.40438415145732,0.2381,-0.0159,0.9373,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"SphoTest_1",1.94365912809739,-0.225581833284018,0.402278110434619,0.121291413971344,4.83163035144387,-1.85983348613047,0.016903062108308,0.15985635826066,0.5355,0.3807,3.459,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"SphoTest_2",1.90452211189725,-0.21006471094628,0.332641890283577,0.10029530360229,5.72544278856054,-2.0944620874699,0.0105752922318812,0.127234571901507,0.5939,0.4585,4.3868,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"SphoTest_3",1.94602175894112,-0.141331360666174,0.572622421141852,0.172652156133854,3.39843793587511,-0.818590186366409,0.0425101083598656,0.472992095826697,0.1826,-0.0899,0.6701,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","CODH","Carbon cycling","Carbon fixation",247
"SynoFoet_2",1.78410437455031,-0.190816432787167,0.398489934188093,0.120149235857756,4.4771629631884,-1.58816185075927,0.0207724035518515,0.210455631403798,0.4567,0.2757,2.5223,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","CODH","Carbon cycling","Carbon fixation",247
"SynoFoet_3",1.23234983294075,-0.0250793681053429,0.531259435532102,0.160180746726908,2.31967613282284,-0.156569179616204,0.103114689287981,0.885527590576697,0.0081,-0.3225,0.0245,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","CODH","Carbon cycling","Carbon fixation",247
"UrobJama_1",1.2453977403114,0.0417232914901981,0.430609243392542,0.129833571962899,2.89217604921709,0.321359805937719,0.0629014285878908,0.769025504452838,0.0333,-0.289,0.1033,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","CODH","Carbon cycling","Carbon fixation",247
"Wtr_A",1.76057812494129,-0.0860627129219171,0.33612486490271,0.101345459962835,5.2378693419509,-0.84920146352365,0.0135445497419201,0.458161551826699,0.1938,-0.0749,0.7211,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"CODH","Carbon cycling","Carbon fixation",247
"Wtr_B",1.35371214815728,-0.00986081637178958,0.43098071776001,0.12994557569891,3.14100397621754,-0.075884202434391,0.0516233700136424,0.944288387958466,0.0019,-0.3308,0.0058,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"CODH","Carbon cycling","Carbon fixation",247
"Wtr_C",1.52678484426257,-0.0398206186419745,0.447189123061915,0.134832593774949,3.41418152974884,-0.295333772992899,0.0420216589952431,0.786999471067675,0.0283,-0.2957,0.0872,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"CODH","Carbon cycling","Carbon fixation",247
"AcanQuad_1",1.12424205062324,0.0350187916849714,0.11941512230968,0.0360050140905099,9.41457018908991,0.97260874824103,0.00253924855209752,0.402484222952066,0.2397,-0.0137,0.946,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","CopA","Metal Resistance","Copper",1378
"ArioFeli_2",1.28482659717134,-0.0124404035391299,0.0645879849389755,0.0194740101825189,19.8926564806949,-0.638820839803054,0.000277623037255612,0.568369062946571,0.1197,-0.1737,0.4081,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","CopA","Metal Resistance","Copper",1378
"ChaeFabe_1",1.22318170244664,0.00617949305829294,0.0867236858327325,0.0261481751221667,14.1043555829239,0.236325977985912,0.000771981867185079,0.828396161877348,0.0183,-0.309,0.0558,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","CopA","Metal Resistance","Copper",1378
"ChilShoe_1",1.19481548056782,0.0146909591836449,0.197642797936298,0.0595915457518845,6.04532769746011,0.246527573639593,0.00907827014892878,0.821180079543975,0.0199,-0.3069,0.0608,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","CopA","Metal Resistance","Copper",1378
"ChilShoe_2",1.24163203490521,0.0200263231436325,0.241179660300034,0.0727184036618717,5.1481623009195,0.275395527612948,0.0142055559367865,0.800891498304493,0.0247,-0.3005,0.0758,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","CopA","Metal Resistance","Copper",1378
"GimnMicr_1",1.1820371257704,0.038167660289819,0.213576317305677,0.0643956826008017,5.534495306793,0.592705267625252,0.011625497492044,0.595087197883623,0.1048,-0.1936,0.3513,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","CopA","Metal Resistance","Copper",1378
